Warning: unused arguments left: ["--full-slice"].
    Finished `profiling` profile [optimized + debuginfo] target(s) in 0.20s
    Analyzing target/profiling/ctd

 File  .text     Size Crate
 1.6%  13.9%   2.0MiB [Unknown]
 1.3%  11.0%   1.6MiB std
 1.1%   8.9%   1.3MiB openssl_sys
 0.7%   5.7% 831.1KiB tantivy
 0.5%   4.1% 586.3KiB html5ever
 0.4%   3.7% 541.4KiB bitpacking
 0.4%   3.6% 518.2KiB ctd
 0.4%   3.3% 481.7KiB redb
 0.3%   2.8% 397.9KiB regex_automata
 0.3%   2.7% 386.6KiB libgit2_sys
 0.3%   2.7% 383.3KiB lol_html
 0.3%   2.4% 342.0KiB zstd_sys
 0.2%   1.8% 261.7KiB spider
 0.2%   1.7% 246.4KiB clap_builder
 0.2%   1.5% 223.4KiB tantivy_columnar
 0.2%   1.5% 210.4KiB doc_transformer
 0.2%   1.3% 185.5KiB spider_transformations
 0.1%   1.3% 181.5KiB selectors
 0.1%   1.1% 159.5KiB regex_syntax
 0.1%   1.1% 159.1KiB h2
 2.7%  22.6%   3.2MiB And 178 more crates. Use -n N to show more.
11.9% 100.0%  14.1MiB .text section size, the file size is 119.1MiB

Note: numbers above are a result of guesswork. They are not 100% correct and never will be.
